open,high,low,close,volume,class
0.109,0.1095,0.1086,0.1086,23049600,1
0.1059,0.1059,0.1055,0.1055,27507200,1
0.102,0.102,0.1016,0.1016,10841600,1
0.1034,0.1042,0.1034,0.1034,15030400,0
0.1016,0.1016,0.1007,0.1007,23027200,1
0.1029,0.1034,0.1029,0.1029,24259200,0
0.1025,0.1025,0.1016,0.1016,23788800,1
0.099,0.099,0.0981,0.0981,10595200,1
0.0911,0.0911,0.0907,0.0907,35907200,1
0.0902,0.0902,0.0898,0.0898,170464000,1
0.0898,0.0902,0.0898,0.0898,30284800,0
0.0876,0.0876,0.0868,0.0868,16531200,1
0.0876,0.0885,0.0876,0.0876,15836800,0
0.0911,0.0916,0.0911,0.0911,16620800,0
0.0846,0.0846,0.0841,0.0841,32883200,1
0.078,0.078,0.0776,0.0776,55171200,1
0.0794,0.0798,0.0794,0.0794,45740800,0
0.0828,0.0837,0.0828,0.0828,19779200,0
0.085,0.0855,0.085,0.085,10953600,0
0.0872,0.0881,0.0872,0.0872,15232000,0
0.0902,0.0907,0.0902,0.0902,19824000,0
0.0846,0.0846,0.0841,0.0841,23654400,1
0.0841,0.0841,0.0837,0.0837,31942400,1
0.0798,0.0798,0.0789,0.0789,22668800,1
0.0811,0.0815,0.0811,0.0811,34451200,0
0.0837,0.0841,0.0837,0.0837,28851200,0
0.0872,0.0876,0.0872,0.0872,17337600,0
0.0846,0.0846,0.0841,0.0841,22848000,1
0.0833,0.0833,0.0828,0.0828,15500800,1
0.0859,0.0868,0.0859,0.0859,9900800,0
0.0872,0.0876,0.0872,0.0872,10953600,0
0.0872,0.0872,0.0863,0.0863,12432000,1
0.0876,0.0881,0.0876,0.0876,31673600,0
0.0902,0.0907,0.0902,0.0902,17494400,0
0.0885,0.0885,0.0881,0.0881,10528000,1
0.0881,0.0885,0.0881,0.0881,9206400,0
0.0863,0.0863,0.0855,0.0855,71456000,1
0.0841,0.0841,0.0837,0.0837,26275200,1
0.0815,0.0815,0.0811,0.0811,27484800,1
0.0807,0.0807,0.0798,0.0798,24192000,1
0.078,0.078,0.0772,0.0772,18905600,1
0.0763,0.0763,0.0754,0.0754,17001600,1
0.0754,0.0754,0.0746,0.0746,20675200,1
0.0754,0.0759,0.0754,0.0754,17113600,0
0.0711,0.0711,0.0702,0.0702,41910400,1
0.0663,0.0663,0.0658,0.0658,23072000,1
0.0676,0.068,0.0676,0.0676,40700800,0
0.0667,0.0667,0.0663,0.0663,33600000,1
0.0667,0.0671,0.0667,0.0667,25916800,0
0.0702,0.0706,0.0702,0.0702,38035200,0
0.0702,0.0706,0.0702,0.0702,40947200,0
0.0746,0.075,0.0746,0.0746,37027200,0
0.0759,0.0763,0.0759,0.0759,19376000,0
0.0728,0.0728,0.0719,0.0719,37475200,1
0.0715,0.0715,0.0711,0.0711,15254400,1
0.0693,0.0693,0.0689,0.0689,25446400,1
